"","lat","lon","time_utc","value","name","variable","threshold","tmz_offset","time_lst"
"53",4.625,38.125,1970-01-01 00:00:00,0.0596770159900188,"imerg","mean","0.1",3,1970-01-01 03:00:00
"54",4.625,38.375,1970-01-01 00:00:00,0.068672314286232,"imerg","mean","0.1",3,1970-01-01 03:00:00
"55",4.625,38.625,1970-01-01 00:00:00,0.0687301531434059,"imerg","mean","0.1",3,1970-01-01 03:00:00
"56",4.625,38.875,1970-01-01 00:00:00,0.0606382600963116,"imerg","mean","0.1",3,1970-01-01 03:00:00
"57",4.625,39.125,1970-01-01 00:00:00,0.0517475828528404,"imerg","mean","0.1",3,1970-01-01 03:00:00
"58",4.625,39.375,1970-01-01 00:00:00,0.0443471185863018,"imerg","mean","0.1",3,1970-01-01 03:00:00
"59",4.625,39.625,1970-01-01 00:00:00,0.038817036896944,"imerg","mean","0.1",3,1970-01-01 03:00:00
"60",4.625,39.875,1970-01-01 00:00:00,0.0327503867447376,"imerg","mean","0.1",3,1970-01-01 03:00:00
"61",4.625,40.125,1970-01-01 00:00:00,0.0271420124918222,"imerg","mean","0.1",3,1970-01-01 03:00:00
"62",4.625,40.375,1970-01-01 00:00:00,0.0245090071111917,"imerg","mean","0.1",3,1970-01-01 03:00:00
"63",4.625,40.625,1970-01-01 00:00:00,0.0246269404888153,"imerg","mean","0.1",3,1970-01-01 03:00:00
"64",4.625,40.875,1970-01-01 00:00:00,0.025094136595726,"imerg","mean","0.1",3,1970-01-01 03:00:00
"65",4.625,41.125,1970-01-01 00:00:00,0.0263766329735518,"imerg","mean","0.1",3,1970-01-01 03:00:00
"66",4.625,41.375,1970-01-01 00:00:00,0.0284260213375092,"imerg","mean","0.1",3,1970-01-01 03:00:00
"67",4.625,41.625,1970-01-01 00:00:00,0.0290470533072948,"imerg","mean","0.1",3,1970-01-01 03:00:00
"68",4.625,41.875,1970-01-01 00:00:00,0.0287431683391333,"imerg","mean","0.1",3,1970-01-01 03:00:00
"69",4.375,33.625,1970-01-01 00:00:00,0.0656228587031364,"imerg","mean","0.1",2,1970-01-01 02:00:00
"70",4.375,33.875,1970-01-01 00:00:00,0.0567862205207348,"imerg","mean","0.1",2,1970-01-01 02:00:00
"71",4.375,34.125,1970-01-01 00:00:00,0.0523032955825329,"imerg","mean","0.1",2,1970-01-01 02:00:00
"72",4.375,34.375,1970-01-01 00:00:00,0.0502604134380817,"imerg","mean","0.1",2,1970-01-01 02:00:00
"73",4.375,34.625,1970-01-01 00:00:00,0.0513464920222759,"imerg","mean","0.1",2,1970-01-01 02:00:00
"74",4.375,34.875,1970-01-01 00:00:00,0.0483766421675682,"imerg","mean","0.1",2,1970-01-01 02:00:00
"75",4.375,35.125,1970-01-01 00:00:00,0.0530010275542736,"imerg","mean","0.1",2,1970-01-01 02:00:00
"76",4.375,35.375,1970-01-01 00:00:00,0.0528555251657963,"imerg","mean","0.1",2,1970-01-01 02:00:00
"77",4.375,35.625,1970-01-01 00:00:00,0.0676761046051979,"imerg","mean","0.1",2,1970-01-01 02:00:00
"78",4.375,35.875,1970-01-01 00:00:00,0.0830485299229622,"imerg","mean","0.1",2,1970-01-01 02:00:00
"79",4.375,36.125,1970-01-01 00:00:00,0.085646890103817,"imerg","mean","0.1",2,1970-01-01 02:00:00
"80",4.375,36.375,1970-01-01 00:00:00,0.0787328258156776,"imerg","mean","0.1",2,1970-01-01 02:00:00
"81",4.375,36.625,1970-01-01 00:00:00,0.0622547976672649,"imerg","mean","0.1",2,1970-01-01 02:00:00
"82",4.375,36.875,1970-01-01 00:00:00,0.0582829937338829,"imerg","mean","0.1",2,1970-01-01 02:00:00
"83",4.375,37.125,1970-01-01 00:00:00,0.0573202818632126,"imerg","mean","0.1",2,1970-01-01 02:00:00
"84",4.375,37.375,1970-01-01 00:00:00,0.0494289472699165,"imerg","mean","0.1",2,1970-01-01 02:00:00
"85",4.375,37.625,1970-01-01 00:00:00,0.0447612144052982,"imerg","mean","0.1",3,1970-01-01 03:00:00
"86",4.375,37.875,1970-01-01 00:00:00,0.0408811196684837,"imerg","mean","0.1",3,1970-01-01 03:00:00
"87",4.375,38.125,1970-01-01 00:00:00,0.0424888581037521,"imerg","mean","0.1",3,1970-01-01 03:00:00
"88",4.375,38.375,1970-01-01 00:00:00,0.0515315607190132,"imerg","mean","0.1",3,1970-01-01 03:00:00
"89",4.375,38.625,1970-01-01 00:00:00,0.053547739982605,"imerg","mean","0.1",3,1970-01-01 03:00:00
"90",4.375,38.875,1970-01-01 00:00:00,0.0470287278294563,"imerg","mean","0.1",3,1970-01-01 03:00:00
"91",4.375,39.125,1970-01-01 00:00:00,0.0410677082836628,"imerg","mean","0.1",3,1970-01-01 03:00:00
"92",4.375,39.375,1970-01-01 00:00:00,0.036972988396883,"imerg","mean","0.1",3,1970-01-01 03:00:00
"93",4.375,39.625,1970-01-01 00:00:00,0.0324238911271095,"imerg","mean","0.1",3,1970-01-01 03:00:00
"94",4.375,39.875,1970-01-01 00:00:00,0.0291408635675907,"imerg","mean","0.1",3,1970-01-01 03:00:00
"95",4.375,40.125,1970-01-01 00:00:00,0.0265215132385492,"imerg","mean","0.1",3,1970-01-01 03:00:00
"96",4.375,40.375,1970-01-01 00:00:00,0.0246371328830719,"imerg","mean","0.1",3,1970-01-01 03:00:00
"97",4.375,40.625,1970-01-01 00:00:00,0.0250787697732449,"imerg","mean","0.1",3,1970-01-01 03:00:00
"98",4.375,40.875,1970-01-01 00:00:00,0.0294040217995644,"imerg","mean","0.1",3,1970-01-01 03:00:00
"99",4.375,41.125,1970-01-01 00:00:00,0.032809242606163,"imerg","mean","0.1",3,1970-01-01 03:00:00
"100",4.375,41.375,1970-01-01 00:00:00,0.0314691849052906,"imerg","mean","0.1",3,1970-01-01 03:00:00
"101",4.375,41.625,1970-01-01 00:00:00,0.0286499541252851,"imerg","mean","0.1",3,1970-01-01 03:00:00
"102",4.375,41.875,1970-01-01 00:00:00,0.0272213164716959,"imerg","mean","0.1",3,1970-01-01 03:00:00
"103",4.125,33.625,1970-01-01 00:00:00,0.0419481173157692,"imerg","mean","0.1",2,1970-01-01 02:00:00
"104",4.125,33.875,1970-01-01 00:00:00,0.043212778866291,"imerg","mean","0.1",2,1970-01-01 02:00:00
"105",4.125,34.125,1970-01-01 00:00:00,0.0426375493407249,"imerg","mean","0.1",2,1970-01-01 02:00:00
"106",4.125,34.375,1970-01-01 00:00:00,0.0408735871315002,"imerg","mean","0.1",2,1970-01-01 02:00:00
"107",4.125,34.625,1970-01-01 00:00:00,0.0400741659104824,"imerg","mean","0.1",2,1970-01-01 02:00:00
"108",4.125,34.875,1970-01-01 00:00:00,0.0411264859139919,"imerg","mean","0.1",2,1970-01-01 02:00:00
"109",4.125,35.125,1970-01-01 00:00:00,0.0452999286353588,"imerg","mean","0.1",2,1970-01-01 02:00:00
"110",4.125,35.375,1970-01-01 00:00:00,0.050830502063036,"imerg","mean","0.1",2,1970-01-01 02:00:00
"111",4.125,35.625,1970-01-01 00:00:00,0.0645838752388954,"imerg","mean","0.1",2,1970-01-01 02:00:00
"112",4.125,35.875,1970-01-01 00:00:00,0.0773099288344383,"imerg","mean","0.1",2,1970-01-01 02:00:00
"113",4.125,36.125,1970-01-01 00:00:00,0.0748119950294495,"imerg","mean","0.1",2,1970-01-01 02:00:00
"114",4.125,36.375,1970-01-01 00:00:00,0.0646568238735199,"imerg","mean","0.1",2,1970-01-01 02:00:00
"115",4.125,36.625,1970-01-01 00:00:00,0.0543340742588043,"imerg","mean","0.1",2,1970-01-01 02:00:00
"116",4.125,36.875,1970-01-01 00:00:00,0.0445506051182747,"imerg","mean","0.1",2,1970-01-01 02:00:00
"117",4.125,37.125,1970-01-01 00:00:00,0.0420626066625118,"imerg","mean","0.1",2,1970-01-01 02:00:00
"118",4.125,37.375,1970-01-01 00:00:00,0.0378743931651115,"imerg","mean","0.1",2,1970-01-01 02:00:00
"119",4.125,37.625,1970-01-01 00:00:00,0.0365080609917641,"imerg","mean","0.1",3,1970-01-01 03:00:00
"120",4.125,37.875,1970-01-01 00:00:00,0.0346446894109249,"imerg","mean","0.1",3,1970-01-01 03:00:00
"121",4.125,38.125,1970-01-01 00:00:00,0.0389416627585888,"imerg","mean","0.1",3,1970-01-01 03:00:00
"122",4.125,38.375,1970-01-01 00:00:00,0.0425264984369278,"imerg","mean","0.1",3,1970-01-01 03:00:00
"123",4.125,38.625,1970-01-01 00:00:00,0.0402165129780769,"imerg","mean","0.1",3,1970-01-01 03:00:00
"124",4.125,38.875,1970-01-01 00:00:00,0.0374000407755375,"imerg","mean","0.1",3,1970-01-01 03:00:00
"125",4.125,39.125,1970-01-01 00:00:00,0.0323483981192112,"imerg","mean","0.1",3,1970-01-01 03:00:00
"126",4.125,39.375,1970-01-01 00:00:00,0.031058207154274,"imerg","mean","0.1",3,1970-01-01 03:00:00
"127",4.125,39.625,1970-01-01 00:00:00,0.0319500714540482,"imerg","mean","0.1",3,1970-01-01 03:00:00
"128",4.125,39.875,1970-01-01 00:00:00,0.0313653573393822,"imerg","mean","0.1",3,1970-01-01 03:00:00
"129",4.125,40.125,1970-01-01 00:00:00,0.0284962430596352,"imerg","mean","0.1",3,1970-01-01 03:00:00
"130",4.125,40.375,1970-01-01 00:00:00,0.0302475225180387,"imerg","mean","0.1",3,1970-01-01 03:00:00
"131",4.125,40.625,1970-01-01 00:00:00,0.0361739285290241,"imerg","mean","0.1",3,1970-01-01 03:00:00
"132",4.125,40.875,1970-01-01 00:00:00,0.0393258519470692,"imerg","mean","0.1",3,1970-01-01 03:00:00
"133",4.125,41.125,1970-01-01 00:00:00,0.0436300449073315,"imerg","mean","0.1",3,1970-01-01 03:00:00
"134",4.125,41.375,1970-01-01 00:00:00,0.042216882109642,"imerg","mean","0.1",3,1970-01-01 03:00:00
"135",4.125,41.625,1970-01-01 00:00:00,0.0313988365232944,"imerg","mean","0.1",3,1970-01-01 03:00:00
"136",4.125,41.875,1970-01-01 00:00:00,0.0319089069962502,"imerg","mean","0.1",3,1970-01-01 03:00:00
"137",3.875,33.625,1970-01-01 00:00:00,0.02949926443398,"imerg","mean","0.1",2,1970-01-01 02:00:00
